梯度++,梯度-+,梯度+-,梯度--,卡方统计量,把握,列,名称
17.799006,31.56253,21.191149,29.447315,36.1325227375918,99.9,72,NASDAQ.LKQ
23.235655,27.117214,25.084382,24.562749,25.0323379667763,99.9,73,NASDAQ.LRCX
21.801875,28.357114,23.571137,26.269874,18.119299547082,99.9,74,NASDAQ.MAR
17.340504,31.361276,22.89503,28.40319,91.2727356279942,99.9,75,NASDAQ.MAT
21.83053,28.315006,23.40718,26.447283,14.5700716608017,99.9,76,NASDAQ.MCHP
19.085625,30.415546,22.998178,27.500651,57.6988667645719,99.9,77,NASDAQ.MDLZ
19.706351,29.479922,22.315585,28.498143,17.2068714866095,99.9,78,NASDAQ.MNST
22.396588,28.625463,24.360212,24.617737,42.5584154438294,99.9,79,NASDAQ.MSFT
21.466309,28.675933,23.750305,26.107453,28.910055121276,99.9,80,NASDAQ.MU
20.537589,29.113818,23.057539,27.291054,23.7760410214516,99.9,81,NASDAQ.MYL
16.383371,32.520991,20.878558,30.21708,56.5603153952676,99.9,82,NASDAQ.NAVI
18.212681,31.652521,19.470794,30.664004,5.70434931877984,97.5,83,NASDAQ.NDAQ
23.501127,26.581518,24.921112,24.996243,11.99131997944,99.9,84,NASDAQ.NFLX
19.673562,29.335777,22.780833,28.209828,24.0918195494856,99.9,85,NASDAQ.NTAP
20.191814,29.106011,22.255523,28.446652,10.2980231764873,99.5,86,NASDAQ.NTRS
24.261368,26.21865,25.489321,24.030662,15.6370859098977,99.9,87,NASDAQ.NVDA
3.588699,47.696615,15.627386,33.0873,397.801001405976,99.9,88,NASDAQ.NWS
11.085252,38.094072,20.970113,29.850563,328.395291530291,99.9,89,NASDAQ.NWSA
22.05628,28.501808,24.422261,25.019651,42.5646729042543,99.9,90,NASDAQ.ORLY
20.409408,29.146341,22.447735,27.996516,12.8801108781336,99.9,91,NASDAQ.PAYX
14.90835,34.01222,21.354379,29.725051,136.326020162207,99.9,92,NASDAQ.PBCT
20.268078,29.924016,22.428071,27.379834,25.8573686844133,99.9,93,NASDAQ.PCAR
